area,price,longitude,latitude,legal,furniture,frontage,floor,bedroom,toilet
34.0,5.55,105.781205534097,21.0867313908398,1.0,1.0,,5.0,4.0,4.0
36.0,7.59,105.813317852868,20.991135261731,1.0,2.0,4.0,5.0,5.0,5.0
75.0,29.9,105.804792553687,21.0100141933003,1.0,2.0,6.0,6.0,8.0,12.0
75.0,30.0,105.8099354,21.0159649,1.0,2.0,,8.0,9.0,8.0
35.0,4.8,105.807970807961,20.9996039375437,1.0,2.0,5.0,5.0,3.0,3.0
90.0,23.2,105.872045254705,21.0382006971574,1.0,2.0,6.6,4.0,4.0,4.0
63.0,14.5,105.855475006212,21.0163756104021,1.0,2.0,4.3,,,
87.0,11.5,105.87206679063,21.0461162706341,1.0,1.0,5.2,4.0,4.0,3.0
73.0,25.0,105.82290127552,21.0261625871807,1.0,2.0,6.3,5.0,,
44.0,12.8,105.857748863849,21.0116425587484,1.0,2.0,,5.0,6.0,5.0
